#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl
,,North America,,"33,504,423","+8,089","758,226",+807,"23,176,861","+5,248","9,569,336","21,638",,,,,,North America,,,,
,,Asia,,"24,937,210","+1,190","397,560",+8,"23,447,478","+1,173","1,092,172","21,838",,,,,,Asia,,,,
,,South America,,"17,936,527",+656,"465,612",+19,"16,204,452",+603,"1,266,463","18,928",,,,,,South America,,,,
,,Europe,,"34,030,247",,"811,393",,"23,589,003",,"9,629,851","25,346",,,,,,Europe,,,,
,,Africa,,"3,915,198",,"103,643",,"3,475,121",,"336,434","2,528",,,,,,Africa,,,,
,,Oceania,,"51,161",+9,"1,088",,"34,279",+7,"15,794",6,,,,,,Australia/Oceania,,,,
,,,,721,,15,,706,,0,0,,,,,,,,,,
,World,"114,375,487","+9,944","2,537,537",+834,"89,927,900","+7,031","21,910,050","90,284","14,673",325.5,,,,All,,,,
1,USA,"29,202,824",,"524,669 ",,"19,632,523",,"9,045,632","15,084","87,885","1,579","357,707,996","1,076,515","332,283,263 ",North America,116331
2,India,"11,096,440",,"157,087 ",,"10,773,275",,"166,078","8,944","7,989",113,"215,435,383","155,108","1,388,938,259 ",Asia,"1258,8426"
3,Brazil,"10,517,232",,"254,263 ",,"9,386,440",,"876,529","8,318","49,248","1,191","28,600,000","133,923","213,555,702 ",South America,208407
4,Russia,"4,234,720",,"85,743 ",,"3,799,406",,"349,571","2,300","29,010",587,"110,600,000","757,660","145,975,854 ",Europe,"341,7021"
5,UK,"4,170,519",,"122,705 ",,"2,846,208",,"1,201,606","1,971","61,222","1,801","89,162,545","1,308,878","68,121,360 ",Europe,165551
6,France,"3,736,016",,"86,332 ",,"254,868",,"3,394,816","3,430","57,153","1,321","51,853,607","793,245","65,368,972 ",Europe,177571
7,Spain,"3,188,553",,"69,142 ",,"2,647,446",,"471,965","3,021","68,180","1,478","38,491,517","823,053","46,766,757 ",Europe,156761
8,Italy,"2,907,825",,"97,507 ",,"2,398,352",,"411,966","2,216","48,140","1,614","39,875,863","660,164","60,402,967 ",Europe,216192
9,Turkey,"2,693,164",,"28,503 ",,"2,565,723",,"98,938","1,187","31,708",336,"33,065,377","389,296","84,936,363 ",Asia,"322,9803"
10,Germany,"2,444,177",,"70,589 ",,"2,243,200",,"130,388","2,848","29,111",841,"43,950,029","523,458","83,960,923 ",Europe,"341,1892"
11,Colombia,"2,248,135",,"59,660 ",,"2,145,450",,"43,025","2,240","43,875","1,164","11,427,482","223,019","51,239,855 ",South America,238594
