S.N.,Contract No,Stock Symbol,Buyer Broker,Seller Broker,Quantity,Rate,Amount
,,,,,,,
1,2.02102E+15,NIFRA,14,52,50,543,27150
,,,,,,,
2,2.02102E+15,NMFBS,55,48,26,3325,86450
,,,,,,,
3,2.02102E+15,NIFRA,41,57,44,544,23936
,,,,,,,
4,2.02102E+15,NIFRA,41,34,60,544,32640
,,,,,,,
5,2.02102E+15,NIFRA,41,36,50,544,27200
,,,,,,,
6,2.02102E+15,NIFRA,41,33,846,544,460224
,,,,,,,
7,2.02102E+15,NIFRA,34,33,50,544,27200
,,,,,,,
8,2.02102E+15,GILB,57,45,10,1980,19800
,,,,,,,
9,2.02102E+15,HIDCL,34,52,100,328,32800
,,,,,,,
10,2.02102E+15,PRVU,32,34,446,465,207390
,,,,,,,
11,2.02102E+15,NIFRA,14,50,50,543,27150
,,,,,,,
12,2.02102E+15,NIFRA,14,58,50,543,27150
,,,,,,,
13,2.02102E+15,SBL,34,14,100,408,40800
,,,,,,,
14,2.02102E+15,API,38,6,100,311,31100
,,,,,,,
15,2.02102E+15,API,38,20,298,311,92678
,,,,,,,
16,2.02102E+15,HIDCL,41,52,49,328,16072
,,,,,,,
17,2.02102E+15,HIDCL,41,34,151,327,49377
,,,,,,,
18,2.02102E+15,SABSL,51,41,11,1371,15081
,,,,,,,
19,2.02102E+15,LBL,13,13,20,298,5960
,,,,,,,
20,2.02102E+15,LBL,13,56,30,298,8940
